"estimateUncomParameter", 0.15
1023.167459
963.600000
923.931901
990.516302
915.825038
908.300000
969.015185
883.196144
1026.327058
973.700013
973.641853
979.082933
976.822696
950.400125
1001.789004
995.001672
925.500000
1008.731182
957.200000
906.253290
948.365587
981.725038
1016.067443
1018.600000
960.365048
983.200570
1010.278996
1006.446729
999.926960
987.603106
982.390898
1009.185707
950.129704
969.121635
1005.039513
941.812966
1039.531668
997.323136
944.196050
1020.755911
1056.189100
967.501675
975.800066
969.517672
956.461504
949.045664
944.844403
971.500000
980.019137
984.476881
972.557145
956.400000
959.294629
977.586720
997.365852
959.700000
982.735561
991.339305
986.868666
960.845598
986.745664
997.556720
974.567588
1008.706241
1009.783503
909.349366
872.725688
1062.891358
975.799071
929.396977
943.400000
918.936636
948.081968
964.298844
979.214678
940.848988
994.900000
1017.942368
993.785707
989.176534
994.500000
1019.699519
1096.656228
1034.740578
968.600000
943.400000
952.945662
943.100000
955.670882
986.700118
977.700000
870.000000
968.339681
928.000000
994.666014
905.865614
954.774011
1026.643816
991.467588
949.315119
