266177.489204 3804562.070628
266127.971216 3804566.320578
266318.695827 3804574.749199
266370.901951 3804573.943015
266432.909682 3804558.706167
266432.510539 3804565.798117
266443.613840 3804564.351722
266444.453803 3804557.863754
266446.476074 3804572.052757
266466.791173 3804575.267173
266468.151430 3804561.981744
266469.747195 3804558.208087
266494.765772 3804569.695759
266509.934039 3804575.479412
266547.271515 3804558.993856
266551.433345 3804570.762956
266572.485802 3804557.354823
266574.804241 3804561.363580
266580.225746 3804572.891515
266583.332649 3804556.237224
266567.999963 3804557.779982
266469.508559 3804555.927920
266509.269986 3804558.139437
266526.592546 3804570.057126
266456.474917 3804563.308374
266458.281339 3804557.480720
266282.717556 3804562.287825
266341.725292 3804558.207967
266389.981276 3804562.776046
266435.717177 3804573.620006
266476.391780 3804556.381502
266477.128469 3804562.574110
