,0.001,0.005,0.01,0.02,0.05,0.1,0.2,0.5
0.1,448.9,103.1,108.7,65.4,57.3,47.4,59.8,81.3,
0.2,509.8,128.9,93.4,48.5,44.9,43.8,54.1,52.6,
0.3,508.5,197.5,173.5,88.7,86,41,43.6,41.9,
0.4,661.6,355.9,204.3,115.6,75.4,43.7,35.2,61,
0.5,623.7,114.9,138.4,155.4,71.7,44,54.5,47.3,
0.6,568.3,416.2,301.7,331,149.6,95.9,50.8,74.7,
0.7,626.6,516.5,424.2,160.7,142.3,132.5,50.8,75.7,
0.8,631.4,524.4,339.8,309.1,165.4,66.6,116.1,115.3,
0.9,652.9,541.5,439.5,554.8,292,176.3,104.7,168.9,
1,724.6,712.5,606.7,431.4,580.5,424.4,342.3,522.5,
