"mutation_rate", 0.5
"crossover_rate", 1
201.135142
198.927078
201.202452
200.355097
196.845841
198.927078
198.376861
196.361151
197.885966
198.661348
197.353920
196.845841
198.661348
199.220113
196.361151
196.845841
201.615031
201.243938
202.544512
196.845841
200.274913
197.885966
196.361151
201.488006
200.274913
197.885966
203.878963
202.677477
196.845841
198.764496
